
2025/04/15 (11:31:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/20 (16:33:50) | ===> btop++ v.1.4.0
2025/04/20 (16:33:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/20 (16:43:40) | ===> btop++ v.1.4.0
2025/04/20 (16:43:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/20 (17:31:24) | ===> btop++ v.1.4.0
2025/04/20 (17:31:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/20 (17:41:44) | ===> btop++ v.1.4.0
2025/04/20 (17:41:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/20 (18:03:44) | ===> btop++ v.1.4.0
2025/04/20 (18:03:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/24 (18:57:53) | ===> btop++ v.1.4.0
2025/04/24 (18:57:53) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/24 (18:58:46) | ERROR: Exception during Config::unlock() : unordered_map::at

2025/04/24 (18:58:50) | ===> btop++ v.1.4.0
2025/04/24 (18:58:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/25 (17:20:57) | ===> btop++ v.1.4.0
2025/04/25 (17:20:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/25 (17:36:22) | ===> btop++ v.1.4.0
2025/04/25 (17:36:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/25 (17:36:29) | ===> btop++ v.1.4.0
2025/04/25 (17:36:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/25 (21:17:05) | ===> btop++ v.1.4.0
2025/04/25 (21:17:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/25 (21:19:19) | ===> btop++ v.1.4.0
2025/04/25 (21:19:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/25 (21:23:40) | ===> btop++ v.1.4.0
2025/04/25 (21:23:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/26 (10:20:57) | ===> btop++ v.1.4.0
2025/04/26 (10:20:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/27 (11:07:38) | ===> btop++ v.1.4.0
2025/04/27 (11:07:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/27 (18:58:14) | ===> btop++ v.1.4.0
2025/04/27 (18:58:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/27 (18:58:21) | ===> btop++ v.1.4.0
2025/04/27 (18:58:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/27 (18:59:46) | ===> btop++ v.1.4.0
2025/04/27 (18:59:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/27 (19:10:51) | ===> btop++ v.1.4.0
2025/04/27 (19:10:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/27 (19:25:01) | ===> btop++ v.1.4.0
2025/04/27 (19:25:01) | WARNING: Intel GPU: Failed to initialize PMU
